filename,folder_name,meta_counter,peak_to_peak_t,systolic_peak_index,dychrotic_notch_index,diastolic_peak_index,A2_area,A1_area,A2_A1_ratio,a1,b1,ta1,tb1,a2,b2,ta2,tb2,b2_a2,systolic_peak_c,dychrotic_notch_c,diastolic_peak_c
13,clc,2.0,22.0,67.0,76.0,89.0,47.57185252445736,88.67690869139747,1.8640625492944047,0.026614614056969133,-0.024511964056318336,178.0,24.0,0.002536130555551304,-0.0015143750060850893,195.0,164.0,-0.5971202873488878,1.0,1.0,1.0
130,clc,0.0,41.0,59.0,78.0,100.0,50.2477495381145,71.05229680926931,1.4140393840996583,0.01599299567508089,-0.02567943963580821,178.0,28.0,0.0016828932498799964,-0.0014739069309563926,7.0,47.0,-0.8758172457233955,1.0,1.0,1.0
130,clc,1.0,38.0,59.0,77.0,97.0,48.89904536212637,76.66488103513812,1.567819585584735,0.017531217779432534,-0.028374804406258725,179.0,26.0,0.0020659478720296,-0.001521800550990715,4.0,43.0,-0.7366113015696223,1.0,1.0,1.0
130,clc,2.0,49.0,64.0,85.0,113.0,55.63474639727768,75.6890350393143,1.36046337838646,0.015140604584500894,-0.028550100465247308,180.0,24.0,0.002214332132632904,-0.001133346833271931,4.0,37.0,-0.511823324319622,1.0,1.0,1.0
131,clc,0.0,37.0,55.0,77.0,92.0,49.241696584841826,67.07834395096576,1.3622264991498,0.012082773672400404,-0.029907056877140962,180.0,26.0,0.001920525637995163,-0.001673652768933609,9.0,44.0,-0.8714555722779808,1.0,1.0,1.0
131,clc,1.0,38.0,59.0,76.0,97.0,47.50844695309394,78.22745900109022,1.6466010576671934,0.01641884325408416,-0.029671533054668294,176.0,25.0,0.002110729683311958,-0.0015364748663533325,4.0,43.0,-0.7279354047565394,1.0,1.0,1.0
131,clc,2.0,44.0,56.0,73.0,100.0,44.71985742074561,96.60074670752306,2.1601309189932665,0.015660482935584197,-0.0292750168794495,181.0,26.0,0.0021015058731025035,-0.001659715102046544,4.0,43.0,-0.7897741915878002,1.0,1.0,1.0
132,clc,0.0,74.0,79.0,139.0,153.0,95.19952508923622,16.94772811890053,0.17802324226947994,0.01206789443582307,-0.0235812625304132,179.0,30.0,0.0014585454409615506,-0.0009673373448246817,11.0,48.0,-0.6632205741817419,1.0,1.0,1.0
132,clc,1.0,44.0,90.0,113.0,134.0,73.62437428746735,49.56214026774888,0.6731757077382124,0.016775122292712552,-0.021060560945939555,173.0,26.0,0.0015272646592892625,-0.000867099637352764,7.0,153.0,-0.5677468093554151,1.0,1.0,1.0
132,clc,2.0,58.0,114.0,172.0,172.0,129.15698272807225,4.630086964174319,0.035848522212093836,0.023810433842122558,-0.018382490944302443,175.0,25.0,0.0022408006302011875,-0.0008509861817744824,196.0,154.0,-0.3797688068742098,1.0,1.0,1.0
133,clc,0.0,38.0,59.0,80.0,97.0,53.508025160940406,71.02362615216478,1.3273453082699518,0.02091621573664609,-0.025060417951693115,180.0,24.0,0.0017736314961773398,-0.0010992253652652997,194.0,44.0,-0.6197597232764699,1.0,1.0,1.0
